Code,Title,Industry,Vertical,Canton,Spin-offs,City,Year,Highlights,Gender CEO,OOB,Funded,Comment
CHE-439.987.461,Kidemis AG,cleantech,,Bern,,Zollikofen,2023.0,Winner Venture Kick,Male,0.0,1.0,
CHE-219.506.774,WattAnyWhere SA,cleantech,,VS,,Sion,2021.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2023, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-299.621.198,SoHHytec SA,cleantech,,VD,EPFL,,2020.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2023, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-275.849.546,Biosimo AG,cleantech,,ZH,ETH,Zürich,2022.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2023",Female,0.0,1.0,
CHE-267.247.256,NXI Therapeutics AG,biotech,,Basel-Stadt,Universität Basel,Basel,2021.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2022",Male,0.0,1.0,
CHE-218.280.886,Isochronic AG,micro / nano,,VD,EPFL,Denges,2020.0,"Top 100 Swiss Startup Award 2023, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-227.813.793,flowbone SA,medtech,,VD,EPFL,Lausanne,2020.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2021, Top 100 Swiss Startup Award 2023",Female,0.0,1.0,
CHE-204.378.349,Cultivated Biosciences SA,cleantech,,FR,EPFL,St. Aubin,2021.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2022, Top 100 Swiss Startup Award 2023, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-199.078.187,SolidWatts SA,cleantech,,Vaud,,,2022.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-231.549.406,Perovskia Solar AG,cleantech,,Vaud,Empa,Aubonne,2021.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2022, Top 100 Swiss Startup Award 2023",Male,0.0,1.0,
CHE-220.517.715,Cowa Thermal Solutions AG,cleantech,,LU,,Luzern,2019.0,"Winner Venture Kick, Innosuisse Certificate",Male,0.0,1.0,
CHE-177.137.700,a-metal AG,micro / nano,,Zürich,ETH,Zurich,2023.0,Winner Venture Kick,Male,0.0,1.0,
CHE-446.251.997,Pula Advisors AG,ICT (fintech),,GL,,,2018.0,,Female,0.0,1.0,
CHE-271.757.342,Gelato Digital GmbH,ICT (fintech),,ZG,,Zug,2021.0,,Male,0.0,0.0,
CHE-227.339.751,Mamendo GmbH (Profile Bakery),ICT,,Zürich,,Ebmatingen,2021.0,,Male,0.0,0.0,
CHE-113.011.611,Gebäudekälte-Technik AG,ICT,,Zürich,,,2006.0,,,1.0,0.0,
CHE-114.591.861,MaxDeTec AG,micro / nano,,ZH,,,2010.0,,,1.0,0.0,
CHE-404.074.488,Ophiuchus Technologies AG,biotech,,LU,,,2013.0,,,1.0,0.0,
CHE-169.308.299,VisioSafe SA,ICT,,Vaud,EPFL,,2011.0,,,1.0,0.0,
CHE-251.692.082,Smartie,ICT (fintech),,St. Gallen,,,2015.0,,,1.0,0.0,
CHE-454.793.214,SpirAlps SA,consumer products,,Wallis,,,2011.0,,,1.0,0.0,
CHE-397.809.277,Swiss Space Systems,micro / nano,,Vaud,,,2012.0,,,1.0,0.0,
CHE-369.171.162,WellBeingz Sàrl,healthcare IT,,Vaud,,,2011.0,,,1.0,0.0,
CHE-192.354.305,Quantinum AG,ICT,,Bern,,,2013.0,,,1.0,0.0,
CHE-432.620.812,IT Services Sonna,ICT,,Vaud,,,2012.0,,,1.0,0.0,
CHE-114.995.112,Obexia AG,biotech,,Basel-Stadt,Universität Basel,,2012.0,,,1.0,0.0,
CHE-134.001.972,Baucloud AG,ICT,,Solothurn,,,2013.0,,,1.0,0.0,
CHE-348.802.287,tChat Sagl,ICT,,Ticino,,,2015.0,,,1.0,0.0,
CHE-113.036.060,ScienceVisuals Sàrl,ICT,,Vaud,EPFL,,2006.0,,,1.0,0.0,
CHE-306.524.875,DynaDes AG,biotech,,Zürich,Universität Zürich,,2013.0,,,1.0,0.0,
CHE-258.170.399,WB21,ICT (fintech),,Zug,,,2015.0,,,1.0,0.0,
CHE-470.071.970,Tradegear GmbH,ICT (fintech),,ZH,,,2014.0,,,1.0,0.0,
CHE-462.903.054,Service At Home SA,ICT,,Zug,,,2013.0,,,1.0,0.0,
CHE-327.313.924,Smart Power Pool GmbH,ICT,,Zürich,,,2012.0,,,1.0,0.0,
CHE-483.050.428,NeoMedz Sàrl,medtech,,Jura,,,2012.0,,,1.0,0.0,
CHE-115.794.697,Gainsbrook SA,ICT,,Freibourg,,,2010.0,,,1.0,0.0,
CHE-369.807.994,KEYP AG,consumer products,,Lucerne,,,2011.0,,,1.0,0.0,
